Bubble_Sort	Gnome_Sort
0.0011579000856727362	0.0015343998093158007
0		0
0		0
3		3
4		4
5		5
7		7
9		9
12		12
14		14
15		15
15		15
16		16
16		16
16		16
17		17
17		17
18		18
18		18
25		25
26		26
26		26
27		27
28		28
28		28
29		29
30		30
30		30
32		32
35		35
36		36
37		37
37		37
38		38
39		39
39		39
41		41
42		42
42		42
42		42
45		45
46		46
48		48
48		48
50		50
50		50
51		51
51		51
52		52
53		53
53		53
54		54
55		55
56		56
59		59
59		59
61		61
61		61
63		63
64		64
64		64
64		64
65		65
66		66
67		67
68		68
68		68
68		68
71		71
72		72
73		73
74		74
76		76
76		76
76		76
77		77
78		78
81		81
82		82
83		83
83		83
86		86
86		86
87		87
89		89
89		89
91		91
91		91
93		93
94		94
94		94
94		94
95		95
95		95
96		96
96		96
97		97
98		98
99		99
100		100
